what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1385164484168
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1385164485960
started,bundle,org.eclipse.acceleo.common,3.2.2.v20120807-0831,"org.eclipse.acceleo.common",1385164488106
started,bundle,org.eclipse.acceleo.engine,3.2.2.v20120807-0831,"org.eclipse.acceleo.engine",1385164488160
started,bundle,org.eclipse.acceleo.traceability,3.2.2.v20120807-0831,"org.eclipse.acceleo.traceability",1385164488189
started,bundle,org.eclipse.acceleo.ide.ui,3.2.2.v20120807-0831,"org.eclipse.acceleo.ide.ui",1385164488193
started,bundle,org.eclipse.acceleo.parser,3.2.2.v20120807-0831,"org.eclipse.acceleo.parser",1385164488218
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1385164488219
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1385164488413
started,bundle,org.eclipse.acceleo.model,3.2.2.v20120807-0831,"org.eclipse.acceleo.model",1385164488417
started,bundle,org.eclipse.ocl,3.1.0.v20120206-0606,"org.eclipse.ocl",1385164488504
started,bundle,org.eclipse.ocl.ecore,3.1.2.v20111015-2027,"org.eclipse.ocl.ecore",1385164488520
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1385164488522
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1385164488524
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1385164488591
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1385164493477
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1385164493512
started,bundle,org.eclipse.emf.codegen,2.6.0.v20120130-0943,"org.eclipse.emf.codegen",1385164498377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385164506233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385164520786
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1385164526765
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1385164526768
started,bundle,br.cefet.rj.mda.gedbm.editor,1.0.0,"br.cefet.rj.mda.gedbm.editor",1385164526770
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1385164526776
started,bundle,br.cefet.rj.mda.gedbm,1.0.0,"br.cefet.rj.mda.gedbm",1385164526810
started,bundle,br.cefet.rj.mda.gedbm.edit,1.0.0,"br.cefet.rj.mda.gedbm.edit",1385164526811
opened,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164527051
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164527117
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385164530136
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1385164531234
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1385164531322
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1385164531638
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164535573
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1385164535968
closed,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164536002
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385164537039
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1385164537041
opened,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164540272
activated,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164540297
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1385164545716
closed,editor,br.cefet.rj.mda.gedbm.editor,1.0.0,"gedbm.presentation.GedbmEditorID",1385164545732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385164546643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385164646569
